Miesiąc,Przychody,Rozchody
2021.08,200,0
2021.09,1323.57,5
2021.10,1466.42,5
2021.11,1610.39,5
2021.12,1624.39,5
2022.01,1868.35,5
2022.02,1868.35,5
2022.03,3414.85,5
2022.04,2038.79,9845
2022.05,1967.92,2465
2022.06,1765.42,5947.91
2022.07,3323.89,2894.23
2022.08,9055.4,3403.83
2022.09,2658.61,2465
2022.10,9761.49,5066.63
2022.11,3558.9,2863.45
2022.12,5690.7,5664.35
2023.01,4944.34,3060.49
2023.02,4397.73,3805.69
2023.03,6355.96,5010.54
2023.04,5339.55,2834
2023.05,7155.55,14567.67
2023.06,6418.1,4581.41
2023.07,4729.78,5430.93
2023.08,6625.29,2834
2023.09,15755.95,3572
2023.10,12907.2,3572
2023.11,4606.07,8300.91
2023.12,8855.38,5048
2024.01,6001.42,8279.04
2024.02,3907.99,6072
2024.03,5232,3909.12
2024.04,5809.16,35585.38
2024.05,8428.72,5562.52
2024.06,5397.70,5576.85
2024.07,8112.97,5375.64
2024.08,5245.75,5164.12
2024.09,5096.29,8241.95
2024.10,8011.66,11490.60
2024.11,6586.73,930.52
2024.12,9160.93,5048.00
2025.01,15916.15,17742.69
2025.02,6094.12,8178.52
2025.03,4582.63,6582.08
2025.04,4464.09,5550.50
2025.05,3892.72,5725.62
2025.06,4723.42,8276.96
2025.07,5636.31,1039.76
2025.08,10564.44,15792.80
2025.09,6059.10,5794.45
2025.10,4572.76,5550.50

